draw,chain,player_id,serve_period,region,mu_x,mu_y,tau_x,tau_y,rho,alpha,court,strategy
65,1,1,1,1,4.7771942,3.8538069,1.2673693,0.71252041,0.3620851,3.9562179,Deuce,Wide
66,1,1,1,1,4.5429862,3.7777656,1.1892258,0.7603413,0.59583507,3.9291187,Deuce,Wide
67,1,1,1,1,4.2247304,3.658763,1.2920831,0.71658717,0.36059478,4.0669038,Deuce,Wide
68,1,1,1,1,4.7757955,3.7652318,1.2531841,0.7283263,0.59279415,4.0179199,Deuce,Wide
69,1,1,1,1,4.4937299,3.7895638,1.3704726,0.67267461,0.25799195,4.0173022,Deuce,Wide
70,1,1,1,1,5.1505199,3.7378945,1.202085,0.80971973,0.58889234,4.0458727,Deuce,Wide
71,1,1,1,1,4.260796,3.3760929,1.3058595,0.81846913,0.75131016,3.8794747,Deuce,Wide
72,1,1,1,1,4.4459019,3.2513588,1.2192262,0.77718342,0.62317048,3.8942806,Deuce,Wide
73,1,1,1,1,4.7791649,4.0430821,1.3185713,0.77483997,0.60369986,4.047719,Deuce,Wide
74,1,1,1,1,4.1693543,3.1812035,1.7950964,0.90805304,0.81073584,3.9417125,Deuce,Wide
75,1,1,1,1,4.5885248,3.5248984,1.1842218,0.68883637,0.38470969,3.8793469,Deuce,Wide
76,1,1,1,1,4.5847286,3.7322531,1.2872167,0.71954884,0.4919264,3.8840492,Deuce,Wide
77,1,1,1,1,4.8857632,3.6830692,1.2403645,0.70912746,0.68708934,4.0242897,Deuce,Wide
78,1,1,1,1,4.8448945,3.5970766,1.2780272,0.82733035,0.69800098,4.0576626,Deuce,Wide
79,1,1,1,1,4.6179183,3.6813621,1.3283487,0.77456485,0.55557399,4.0879276,Deuce,Wide
80,1,1,1,1,5.2783777,3.4135503,1.1904824,0.78349072,0.59202577,3.9430551,Deuce,Wide
81,1,1,1,1,4.5217675,3.5464602,1.3552351,0.75418801,0.67050716,3.8617895,Deuce,Wide
82,1,1,1,1,4.8036546,3.6627308,1.2216661,0.65290671,0.61358003,3.9709014,Deuce,Wide
83,1,1,1,1,4.8557143,3.6552347,1.1501813,0.67582786,0.61742704,3.760098,Deuce,Wide
84,1,1,1,1,4.3321429,3.30959,1.5002638,0.71698786,0.57280941,3.8387672,Deuce,Wide
85,1,1,1,1,4.2625082,3.5600807,1.390915,0.67778494,0.60010094,3.9972513,Deuce,Wide
86,1,1,1,1,4.2223306,3.1747797,1.4211602,0.80933987,0.69917633,4.088652,Deuce,Wide
87,1,1,1,1,4.4832385,3.4651728999999998,1.391936,0.7220845,0.60812853,3.9629171,Deuce,Wide
88,1,1,1,1,4.6269032,3.5472429,1.1495582,0.66608921,0.35018378,3.7689554,Deuce,Wide
89,1,1,1,1,4.5217491,3.5876639,1.2254746,0.69583171,0.53061816,3.8458316,Deuce,Wide
90,1,1,1,1,4.3762537,3.3469663,1.0974029,0.75291623,0.56296669,3.837154,Deuce,Wide
91,1,1,1,1,4.3429615,3.5739838,1.6704419,0.75204557,0.69776623,4.0209097,Deuce,Wide
92,1,1,1,1,4.513924,3.4802748,1.4570812,0.81424822,0.49522381,4.0134575,Deuce,Wide
93,1,1,1,1,5.1219984,3.6304332,1.236844,0.71205401,0.69253283,4.0290022,Deuce,Wide
94,1,1,1,1,4.663492,3.8356752,1.3901994,0.76833518,0.55318344,3.9899281,Deuce,Wide
95,1,1,1,1,4.7185775,3.3579728,1.3046118,0.74983691,0.63980871,3.9882443,Deuce,Wide
96,1,1,1,1,4.6966415,3.4932381,1.2513255,0.75801632,0.40778433,3.8621851,Deuce,Wide
97,1,1,1,1,3.9001646,3.3282498,1.579137,0.70482031,0.6441892,3.8169734,Deuce,Wide
98,1,1,1,1,4.7742082,3.7423023,1.4935516,0.85956147,0.45551335,4.0088877,Deuce,Wide
99,1,1,1,1,4.6007618,3.4424184,1.2252795,0.68838228,0.74158157,3.9703202,Deuce,Wide
100,1,1,1,1,4.6039253,3.2849363,1.5172322,0.75545891,0.54705882,3.9670944,Deuce,Wide
101,1,1,1,1,4.9465513,3.8785526,1.436786,0.7665579,0.35961286,4.1029141,Deuce,Wide
102,1,1,1,1,4.2481281,4.0113363,1.2203771,0.76146781,0.36706189,3.8799292,Deuce,Wide
103,1,1,1,1,4.784671,3.8018149,1.329049,0.66707403,0.44599611,4.0623194,Deuce,Wide
104,1,1,1,1,4.7661963,3.6469053,1.6017798,0.70941149,0.67265936,4.105845,Deuce,Wide
105,1,1,1,1,4.7689659,3.5913502,1.4943201,0.79842791,0.5323881,3.5159878,Deuce,Wide
106,1,1,1,1,4.7256116,3.3472306,1.4156345,0.6918836,0.43436786,4.0399358,Deuce,Wide
107,1,1,1,1,4.3716611,3.4999944,1.3185673,0.77708298,0.71107124,4.0960858,Deuce,Wide
108,1,1,1,1,4.3111646,3.5375643,1.1879826,0.67041596,0.61932037,3.8794179,Deuce,Wide
109,1,1,1,1,4.5758221,3.4686757,1.2090899,0.89957803,0.75545487,4.089783,Deuce,Wide
110,1,1,1,1,4.3826559,3.5086151,1.3468738,0.87794424,0.69795049,4.0841649,Deuce,Wide
111,1,1,1,1,4.8397853,3.69729,1.4171911,0.76983123,0.72360989,3.9001807,Deuce,Wide
112,1,1,1,1,4.7438181,3.6861232,1.323368,0.79855656,0.79751602,4.0578705,Deuce,Wide
113,1,1,1,1,4.5317156,3.395875,1.311087,0.6808273,0.23330686,4.0278415,Deuce,Wide
114,1,1,1,1,3.9457827,3.5728613,1.4463937,0.76485445,0.3975485,3.7622291,Deuce,Wide
115,1,1,1,1,4.554693,3.4313381,1.3016526,0.73643031,0.62471616,4.0876366,Deuce,Wide
116,1,1,1,1,4.7952836,3.5961326,1.5257931,0.71465748,0.56929668,4.1059341,Deuce,Wide
117,1,1,1,1,5.0870979,3.7313077,1.601348,0.85852246,0.59885981,4.0211807,Deuce,Wide
118,1,1,1,1,5.0969737,3.4120812,1.2292107,0.69305466,0.66631709,4.1046738,Deuce,Wide
119,1,1,1,1,4.7432813,3.4011003,1.2921588,0.74576923,0.78353422,3.9062049,Deuce,Wide
120,1,1,1,1,4.5276187,3.5436274,1.5476688,0.64399173,0.50254,3.9247396,Deuce,Wide
121,1,1,1,1,4.1328759,3.259634,1.3416268,0.7813757,0.74321619,4.0238942,Deuce,Wide
122,1,1,1,1,4.8741067,3.5650612,1.2875736,0.69363848,0.6400522,4.022484,Deuce,Wide
123,1,1,1,1,5.1568471,3.5282034,1.3574502,0.63269617,0.50068927,3.9592605,Deuce,Wide
124,1,1,1,1,4.4139121,3.2981318,1.350713,0.77348407,0.55511714,4.0789896,Deuce,Wide
125,1,1,1,1,4.8403486,3.6269527,1.2633772,0.68968855,0.56657665,3.8299393,Deuce,Wide
126,1,1,1,1,4.3556104,3.5783961,1.3286584,0.72569814,0.36699795,3.8457302,Deuce,Wide
127,1,1,1,1,4.234793,3.212632,1.5423656,0.81384533,0.61364382,3.8651212,Deuce,Wide
128,1,1,1,1,4.5380846,3.4576033,0.79870718,0.7072982,0.61090147,4.0587529,Deuce,Wide
129,1,1,1,1,4.2439067,3.2866764,1.225009,0.66476069,0.3770789,4.0780444,Deuce,Wide
130,1,1,1,1,4.4987074,3.7876842,1.3334884,0.7222453,0.43363482,3.9789615,Deuce,Wide
131,1,1,1,1,4.9805024,3.5883148,1.3999255,0.67562352,0.53632229,3.8472982,Deuce,Wide
132,1,1,1,1,4.9448987,3.9214764,1.4641877,0.76183394,0.56886373,4.0860169,Deuce,Wide
133,1,1,1,1,4.9412313,3.8524831,1.1936615,0.83716133,0.25013806,4.0893875,Deuce,Wide
134,1,1,1,1,4.5281066,3.4412825,1.3865598,0.64212698,0.51328954,4.0623748,Deuce,Wide
135,1,1,1,1,4.6945846,3.4683824,1.1326912,0.69666232,0.71262168,3.8157174,Deuce,Wide
136,1,1,1,1,4.6842763,3.6668795,1.2089242,0.77698427,0.62478909,4.0718983,Deuce,Wide
137,1,1,1,1,4.2548922,3.5980264,1.325563,0.69582248,0.67670251,3.9669158,Deuce,Wide
138,1,1,1,1,4.8753957,3.5771711,1.289885,0.71776002,0.563045,3.9729046,Deuce,Wide
139,1,1,1,1,5.0047436,3.5674295,1.1237689,0.78797124,0.55313934,3.8300478,Deuce,Wide
140,1,1,1,1,4.9005006,3.5942118,1.3637466,0.84960526,0.77709554,3.9787147,Deuce,Wide
141,1,1,1,1,5.1821181,3.8457345,1.313172,0.81242364,0.45995363,4.0262597,Deuce,Wide
142,1,1,1,1,4.7737207,3.08783,1.0607968,0.74524343,0.46773688,4.0277588,Deuce,Wide
143,1,1,1,1,4.514251,3.8667341,1.3941269,0.61300908,0.48133524,3.960101,Deuce,Wide
144,1,1,1,1,4.7138784,3.5279857,1.1989205,0.8212275,0.4021797,4.006678,Deuce,Wide
145,1,1,1,1,4.8460557,3.6045315000000002,1.1720864,0.79639814,0.70867275,4.0820261,Deuce,Wide
146,1,1,1,1,5.1883543,3.4999179,1.3549693,0.62797448,0.4634493,3.8265703,Deuce,Wide
147,1,1,1,1,4.6083388,3.571979,1.3420885,0.74782489,0.68238546,3.9241606,Deuce,Wide
148,1,1,1,1,4.7306502,3.4312344,1.2840876,0.74164761,0.72306495,4.0583576,Deuce,Wide
149,1,1,1,1,4.9572486,3.5671331,1.4479673,0.67053720000000006,0.49767378,4.0677154,Deuce,Wide
150,1,1,1,1,4.4166961,3.6689126,1.2281461,0.69877718,0.46283029999999997,4.0490891,Deuce,Wide
151,1,1,1,1,4.4773271,3.3703181,1.4469909,0.73405412,0.74984865,4.0843674,Deuce,Wide
152,1,1,1,1,4.4734003,3.1721202,0.99014031,0.66956528,0.7177907,4.063389,Deuce,Wide
153,1,1,1,1,4.4744213,3.4536112,1.3422232,0.75768846,0.50929998,4.0883317,Deuce,Wide
154,1,1,1,1,5.095141,3.4739779,1.2714116,0.79716134,0.64688256,3.9179011,Deuce,Wide
155,1,1,1,1,4.4909027,3.4051789,1.3407016,0.87887061,0.59981755,3.8337636,Deuce,Wide
156,1,1,1,1,4.281548,3.6354597,1.344504,0.76093527,0.35311916,4.03861,Deuce,Wide
157,1,1,1,1,4.4720314,3.5176102,1.3210877,0.74837051,0.43626941,4.0286768,Deuce,Wide
158,1,1,1,1,5.0454606,3.5433067,1.4064902,0.80653729,0.80425781,4.0149907,Deuce,Wide
159,1,1,1,1,4.2875312,3.4889035,1.1121326,0.81438765,0.55493107,4.0817795,Deuce,Wide
160,1,1,1,1,4.2612487,3.1980771,1.3702228,0.83713537,0.66146332,4.0837993,Deuce,Wide
161,1,1,1,1,4.910038,3.5750282,1.4048936,0.89747505,0.48441964,4.0836848,Deuce,Wide
162,1,1,1,1,4.7226443,3.4316674,1.3095215,0.79215459,0.7842488,3.9272991,Deuce,Wide
163,1,1,1,1,4.6329551,3.594705,1.3650545,0.75740264,0.54342866,3.7346005,Deuce,Wide
164,1,1,1,1,4.5494222,3.4905597,1.5425927,0.64378355,0.66373581,3.7785066,Deuce,Wide
165,1,1,1,1,4.5164955,3.9764137,1.55206,0.80927646,-0.088640387,3.995062,Deuce,Wide
166,1,1,1,1,5.4085288,3.7100746,1.1651817,0.70014398,0.47517844,3.9819096,Deuce,Wide
167,1,1,1,1,4.4398179,3.2783695,1.3138542,0.86020283,0.76348592,4.0565684,Deuce,Wide
168,1,1,1,1,4.734618,3.6993265,1.2153085,0.66928073,0.37049428,3.9740135,Deuce,Wide
169,1,1,1,1,4.4770005,3.3500472,1.4563714,0.77908413,0.35823101,3.9778181,Deuce,Wide
170,1,1,1,1,4.5422327,3.6236265,1.420424,0.63513734,0.39203754,3.9988044,Deuce,Wide
171,1,1,1,1,4.75109,3.4007105,1.2844425,0.79677465,0.75356527,3.9345824,Deuce,Wide
172,1,1,1,1,4.8109491,3.4167596,1.2831446,0.75840437,0.73326223,4.0743113,Deuce,Wide
173,1,1,1,1,4.9358478,3.4611175,1.2905237,0.69154221,0.56538209,3.9757001,Deuce,Wide
174,1,1,1,1,4.8921022,3.7054135,1.1518277,0.79802504,0.54455822,3.9534642,Deuce,Wide
175,1,1,1,1,4.601788,3.062528,1.2735051,0.71745091,0.50293043,4.0619313,Deuce,Wide
176,1,1,1,1,4.5648596,3.6625322,1.1077752,0.7762654,0.45410507,4.0335824,Deuce,Wide
177,1,1,1,1,4.2565639,3.3318163,1.3372996,0.65229856,0.52107965999999994,3.9018324,Deuce,Wide
178,1,1,1,1,4.3990812,3.4006953,1.3894263,0.69741972,0.78965645,3.8907296,Deuce,Wide
179,1,1,1,1,4.4101706,3.4783112,1.3170712,0.73357314,0.74969435,3.9704794,Deuce,Wide
180,1,1,1,1,4.3162486,3.7723021,1.4849894,0.71357755,0.39552914,3.9637271,Deuce,Wide
181,1,1,1,1,4.4712794,3.2708182,1.277116,0.85141009,0.62427174,4.0483498000000004,Deuce,Wide
182,1,1,1,1,5.1078529,3.756471,1.1907728,0.70410885,0.56128899,3.9837091,Deuce,Wide
183,1,1,1,1,4.8658618,3.6899389,1.5775416,0.99000415,0.59324062,4.058359,Deuce,Wide
184,1,1,1,1,4.5412801,3.8365143,1.4242447,0.69754687,0.26194044,3.967581,Deuce,Wide
185,1,1,1,1,4.850072,3.4744672,1.5350071,0.57366998,0.53708321,3.8722751,Deuce,Wide
186,1,1,1,1,4.9003915,3.410811,1.1568341,0.71561195,0.66828734,4.0381911,Deuce,Wide
187,1,1,1,1,4.4174426,3.325172,1.1147013,0.73989157,0.49384057,3.465287,Deuce,Wide
188,1,1,1,1,4.6731658,3.4526632,1.4803871,0.79118909,0.67859528,3.9150219,Deuce,Wide
189,1,1,1,1,4.8818647,3.5911143,1.4445278,0.80926076,0.77827974,4.0762911,Deuce,Wide
190,1,1,1,1,4.2533906,3.9176759,1.6407599,0.65776737,0.50479951,4.0577729,Deuce,Wide
191,1,1,1,1,4.7300206,3.5085145,1.2365281,0.71813636,0.68849913,4.002687,Deuce,Wide
192,1,1,1,1,4.823584,3.5577151,1.4843226,0.77226859,0.80148802,4.0847933,Deuce,Wide
193,1,1,1,1,4.6845042,3.5279151,1.5993906,0.78510705,0.58335365,4.1058659,Deuce,Wide
194,1,1,1,1,4.3652159,3.0965804,1.4390043,0.85314192,0.38716024,3.9552244,Deuce,Wide
195,1,1,1,1,4.6694474,3.619884,1.3137821,0.71223723,0.65593871,4.0200585,Deuce,Wide
196,1,1,1,1,4.9840405,3.5808479,1.4726885,0.59704846,0.29452342,3.7984638,Deuce,Wide
197,1,1,1,1,4.5287549,3.6957178,1.2862643,0.61828668,0.42476744,3.9077236,Deuce,Wide
198,1,1,1,1,4.2691266,3.3713284,1.5542388,0.82829817,0.58817435,3.9097944,Deuce,Wide
199,1,1,1,1,4.7349515,3.7901527,1.4628191,0.70965047,0.29130038,4.0727969999999996,Deuce,Wide
200,1,1,1,1,5.5849845,3.7718753,1.4091386,0.67617706,0.44145076,4.0158931,Deuce,Wide
201,1,1,1,1,5.0494405,4.0724216,1.3934761,0.79069338,0.53164737,4.0053402,Deuce,Wide
202,1,1,1,1,4.3429239,3.3586083,1.3098423,0.72559169,0.57576428,3.9287216,Deuce,Wide
203,1,1,1,1,5.2677463,3.983017,1.1842429,0.80145018,0.62496713,4.0218069,Deuce,Wide
204,1,1,1,1,4.6917674,3.5737412,1.3364476,0.68217285,0.49955042,4.0711031,Deuce,Wide
205,1,1,1,1,4.023295,3.0080416,1.4088577,0.78831166,0.58491368,4.0151889,Deuce,Wide
206,1,1,1,1,4.6872277,3.5363803,1.4454402,0.74689706,0.67154155,3.998905,Deuce,Wide
207,1,1,1,1,4.5993132,3.4599636,1.4586616,0.79658315,0.50211485,3.9641906,Deuce,Wide
208,1,1,1,1,4.5368002,3.6271028,1.1927396,0.85917273,0.7005666,4.0857873,Deuce,Wide
209,1,1,1,1,4.5175041,3.4812082,1.3682228,0.74482612,0.63625622,4.0814509,Deuce,Wide
210,1,1,1,1,4.4155026,3.4124129,1.2914336,0.84704614,0.51784146,3.988226,Deuce,Wide
211,1,1,1,1,5.1024254000000004,3.6069007,1.1938831,0.64059467,0.4844171,4.0761538,Deuce,Wide
212,1,1,1,1,4.7445757,3.4058627,1.3646355,0.96723019,0.76810983,3.754086,Deuce,Wide
213,1,1,1,1,4.7350516,3.4508063,1.2321957,0.73399703,0.58119727,4.0322721,Deuce,Wide
214,1,1,1,1,4.961999,3.4124348,1.3307872,0.70702409,0.26736225,4.041137,Deuce,Wide
215,1,1,1,1,4.9947915,3.621047,1.355093,0.70504325,0.72805024,3.6932574,Deuce,Wide
216,1,1,1,1,4.6690946,3.1478469,1.3179494,0.753096,0.45996932,3.8957283,Deuce,Wide
217,1,1,1,1,4.6782152,3.3963337,1.3737383,0.81637069,0.72855284,4.0297319,Deuce,Wide
218,1,1,1,1,4.4226133,3.7223052,1.440249,0.72273325,0.53738458,3.8581447,Deuce,Wide
219,1,1,1,1,4.2835021,3.2009495,1.1551182,0.79042416,0.57030287,4.0325256,Deuce,Wide
220,1,1,1,1,4.5292063,3.5499174,1.2473039,0.72898044,0.58941531,4.0108533,Deuce,Wide
221,1,1,1,1,4.7567863,3.90377,1.3999461,0.76852464,0.63174869,4.1013681,Deuce,Wide
222,1,1,1,1,4.6166384,3.5036481,1.4663194,0.65229679,0.47200022,4.0847446,Deuce,Wide
223,1,1,1,1,4.8399338,3.3589375,1.3940098,0.7372035,0.65051342,3.826685,Deuce,Wide
224,1,1,1,1,4.5238109,3.5990683,1.294046,0.76869117,0.67205655,4.0903182,Deuce,Wide
225,1,1,1,1,4.319984,3.5085406,1.3314722,0.68769294,0.35888772,3.8194206,Deuce,Wide
226,1,1,1,1,4.7869018,3.3860692,1.2651519,0.79521463,0.59200259,4.0781471,Deuce,Wide
227,1,1,1,1,4.8224563,4.0021923,1.2126804,0.7810959,0.54083858,3.5838849,Deuce,Wide
228,1,1,1,1,5.1836637,3.5606703,1.3071681,0.58516203,0.77722954,3.9303326,Deuce,Wide
229,1,1,1,1,4.7202418,3.8778098,1.4160022,0.91170353,0.52711014,4.0592099,Deuce,Wide
230,1,1,1,1,4.7411502,3.8404153,1.5194308,0.71265907,0.37443283,4.0469486,Deuce,Wide
231,1,1,1,1,4.616145,3.4272942,1.1927653,0.74325115,0.61678503,3.8303475,Deuce,Wide
232,1,1,1,1,4.7195664,3.4178342,1.4652992,0.65228053,0.33492748,4.083268,Deuce,Wide
233,1,1,1,1,4.1576321,3.4032173,1.4709089,0.75888171,0.62372687,4.0440218,Deuce,Wide
234,1,1,1,1,4.8779718,3.9547798,1.2693904,0.85969994,0.59069616,3.7909031,Deuce,Wide
235,1,1,1,1,5.0898173,3.9324592,1.3683311,0.75599711,0.70665444,3.9304527,Deuce,Wide
236,1,1,1,1,4.4058177,3.5468162,1.2371378,0.72151838,0.60326378,4.0988477,Deuce,Wide
237,1,1,1,1,4.2891515,3.6762906,1.2923746,0.70249796,0.70592774,4.0345423,Deuce,Wide
238,1,1,1,1,4.5576003,3.5778018,1.5514293,0.85124634,0.6142136,4.0702022,Deuce,Wide
239,1,1,1,1,4.6119173,3.5838177,1.3668619,0.71670443,0.79813573,3.6837338,Deuce,Wide
240,1,1,1,1,4.7569095,3.2064298,1.3693939,0.72713403,0.57864795,3.9806248,Deuce,Wide
241,1,1,1,1,4.9341309,3.7842113,1.1171067,0.7452486,0.7337751,4.0733875,Deuce,Wide
242,1,1,1,1,4.9096562,3.7844005,1.7141306,0.84385109,0.66799309,4.0443386,Deuce,Wide
243,1,1,1,1,4.5473822,3.1947306,1.4008977,0.70584899,0.74862795,4.0540235,Deuce,Wide
244,1,1,1,1,4.101722,3.3813417,1.3392471,0.75182536,0.44374084,4.091032,Deuce,Wide
245,1,1,1,1,5.0809135,3.888509,1.3207678,0.72992749,0.50067236,4.0887778,Deuce,Wide
246,1,1,1,1,4.0701599999999996,3.539586,1.5419882,0.77494438,0.45081033,4.1028878,Deuce,Wide
247,1,1,1,1,4.5137794,3.6548935,1.1798829,0.75062393,0.50428138,4.0243725,Deuce,Wide
248,1,1,1,1,4.8733833,3.8576332,1.2762208,0.82954186,0.58599643,4.1088333,Deuce,Wide
249,1,1,1,1,4.3853683,3.1398472,1.1802918,0.74487102,0.26741078,3.789334,Deuce,Wide
250,1,1,1,1,4.2391312,3.3380552,1.3243215,0.69924382,0.69091975,3.9445088,Deuce,Wide
251,2,1,1,1,4.8556778,3.6285186,1.3399501,0.66585105,0.47458493,3.9696244,Deuce,Wide
252,2,1,1,1,4.7648277,3.5607057,1.3166592,0.73746547,0.70771209,3.8717191,Deuce,Wide
253,2,1,1,1,4.2292715,3.390248,1.1541476,0.65682374,0.72198969,4.0210751,Deuce,Wide
254,2,1,1,1,4.9988236,3.7581947000000002,1.4639932,0.84522632,0.48978785,3.9161761,Deuce,Wide
